MYH11	NM_002474.3	NM_002474	1018.0	NM_002474.3:1018;NM_001040113.1:1
MYH7	NM_000257.4	NM_000257	1875.0	NM_000257.4:1875;NM_000257.3:1
NDUFA11	NM_001193375.2	NM_001193375	4.1	NM_001193375.2:33;NM_175614.4:8
MYL2	NM_000432.3	NM_000432	27.4	NM_000432.3:192;NM_000432.4:7
MYL3	NM_000258.2	NM_000258	19.0	NM_000258.2:133;NM_000258.3:7
MYLK2	NM_033118.3	NM_033118	16.2	NM_033118.3:195;NM_033118.4:12
MYO7A	NM_000260.4	NM_000260	235.2	NM_000260.4:941;NM_000260.3:4
MYOZ2	NM_016599.4	NM_016599	111.0	NM_016599.4:111;NM_016599.5:1
MYPN	NM_032578.3	NM_032578	536.0	NM_032578.3:536;NM_001256267.1:1
NBN	NM_002485.4	NM_002485	22.4	NM_002485.4:1436;NM_002485.5:64;NM_001024688.2:52
NDE1	NM_017668.3	NM_017668	3.9	NM_017668.3:82;NM_001143979.2:21;NM_001143979.1:4
NDRG1	NM_006096.3	NM_006096	4.3	NM_006096.3:163;NM_006096.4:38;NM_001135242.2:3
NDUFA1	NM_004541.4	NM_004541	10.0	NM_004541.4:10
NDUFA10	NM_004544.4	NM_004544	42.0	NM_004544.4:126;NM_001322019.1:3
NDUFA2	NM_002488.4	NM_002488	5.8	NM_002488.4:23;NM_002488.5:4;NM_001185012.1:1
NDUFA9	NM_005002.5	NM_005002	59.0	NM_005002.5:59
NDUFAF1	NM_016013.4	NM_016013	49.0	NM_016013.4:49
NDUFAF2	NM_174889.5	NM_174889	11.7	NM_174889.5:35;NM_174889.4:3
NDUFAF3	NM_199069.2	NM_199069	3.5	NM_199069.2:35;NM_199074.1:10
NDUFAF4	NM_014165.4	NM_014165	56.0	NM_014165.4:56;NM_014165.3:1
NDUFAF7	NM_144736.5	NM_144736	42.0	NM_144736.5:42
NDUFB9	NM_005005.3	NM_005005	32.0	NM_005005.3:32;NM_032026.4:1
NDUFS1	NM_005006.7	NM_005006	129.0	NM_005006.7:129
NDUFS2	NM_004550.4	NM_004550	30.0	NM_004550.4:90;NM_001166159.1:3
NDUFS3	NM_004551.3	NM_004551	19.0	NM_004551.3:38;NM_004551.2:2;NM_018095.6:1
NDUFS4	NM_002495.4	NM_002495	45.0	NM_002495.4:45
NDUFS6	NM_004553.5	NM_004553	2.0	NM_004553.5:28;NM_004553.6:14;NM_004553.4:2
GAMT	NM_000156.6	NM_000156	184.0	NM_000156.6:184;NM_024407.5:1;NM_000156.5:1
NDUFS7	NM_024407.5	NM_024407	51.0	NM_024407.5:51
NDUFS8	NM_002496.4	NM_002496	25.0	NM_002496.4:50;NM_002496.3:2
NDUFV1	NM_007103.4	NM_007103	106.0	NM_007103.4:106;NM_007103.3:1
NDUFV2	NM_021074.5	NM_021074	8.5	NM_021074.5:34;NM_021074.4:4
NEBL	NM_006393.2	NM_006393	30.4	NM_006393.2:365;NM_213569.2:12
NEFL	NM_006158.4	NM_006158	16.4	NM_006158.4:197;NM_006158.5:12
NEXN	NM_144573.3	NM_144573	19.1	NM_144573.3:267;NM_001172309.1:14
NFU1	NM_001002755.3	NM_001002755	3.4	NM_001002755.3:37;NM_001002756.2:11;NM_015700.4:4;NM_001002755.4:2
NHEJ1	NM_024782.2	NM_024782	38.0	NM_024782.2:38
NHLRC1	NM_198586.3	NM_198586	124.0	NM_198586.3:124
NKX2-5	NM_004387.4	NM_004387	159.0	NM_004387.4:159;NM_004387.3:1
NLRP3	NM_004895.4	NM_004895	3.5	NM_004895.4:249;NM_001243133.1:71;NM_001079821.2:11
NOBOX	NM_001080413.3	NM_001080413	44.0	NM_001080413.3:44
NR5A1	NM_004959.5	NM_004959	61.0	NM_004959.5:61
NRAS	NM_002524.5	NM_002524	20.3	NM_002524.5:122;NM_002524.4:6
NRXN1	NM_001330078.2	NM_001330078	26.1	NM_001330078.2:678;NM_001135659.2:26;NM_138735.4:4;NM_138735.4::1
NSMF	NM_001130969.3	NM_001130969	1.3	NM_001130969.3:17;NM_015537.4:13;NM_001130969.1:1
NTRK1	NM_002529.3	NM_002529	56.0	NM_002529.3:336;NM_014215.3:6;NM_001007792.1:5;NM_001012331.1:2
NUBPL	NM_025152.3	NM_025152	116.0	NM_025152.3:116;NM_025152.2:1
OCLN	NM_001205254.2	NM_001205254	9.7	NM_001205254.2:29;NM_002538.4:3
OPA1	NM_015560.2	NM_015560	17.3	NM_015560.2:312;NM_130837.2:18
OPA3	NM_001017989.3	NM_001017989	55.0	NM_001017989.3:220;NM_025136.3:4;NM_001017989.2:1
OPHN1	NM_002547.3	NM_002547	86.0	NM_002547.3:86;NM_002547.2:1
PALB2	NM_024675.3	NM_024675	30.6	NM_024675.3:2512;NM_024675.4:82;NM_032486.4:1
PDHX	NM_003477.3	NM_003477	9.9	NM_003477.3:109;NM_015957.4:11;NM_001166158.1:5;NM_001135024.1:5
PC	NM_001040716.2	NM_001040716	244.0	NM_001040716.2:244
PCDH15	NM_033056.4	NM_033056	8.0	NM_033056.4:684;NM_001142771.2:85;NM_001142769.3:14;NM_033056.3:2
PCDH19	NM_001184880.2	NM_001184880	411.0	NM_001184880.2:411
PCNT	NM_006031.6	NM_006031	210.7	NM_006031.6:632;NM_006031.5:3
PNPT1	NM_033109.5	NM_033109	68.0	NM_033109.5:136;NM_033109.4:2
PDE6A	NM_000440.3	NM_000440	156.0	NM_000440.3:156
PDE6B	NM_000283.3	NM_000283	175.0	NM_000283.3:175
PDHA1	NM_000284.4	NM_000284	151.0	NM_000284.4:151
PDHB	NM_000925.4	NM_000925	63.0	NM_000925.4:63;NM_001173468.1:1;NM_000925.3:1
PDK3	NM_005391.4	NM_005391	31.0	NM_005391.4:31;NM_001142386.3:1
PDLIM3	NM_014476.5	NM_014476	10.6	NM_014476.5:117;NM_014476.6:11;NM_001114107.4:1;NM_001257963.1:1;NM_001257962.1:1
PDP1	NM_018444.4	NM_018444	65.0	NM_018444.4:65;NM_018444.3:1
PDSS1	NM_014317.5	NM_014317	37.0	NM_014317.5:74;NM_001321978.1:2
PDSS2	NM_020381.4	NM_020381	72.0	NM_020381.4:72
PKP2	NM_004572.3	NM_004572	64.9	NM_004572.3:649;NM_001005242.2:10;NM_001005242.3:1
PLEKHG5	NM_020631.5	NM_020631	130.3	NM_020631.5:391;NM_148965.1:3;NM_020631.4:2
PMS2	NM_000535.7	NM_000535	255.5	NM_000535.7:2044;NM_001322007.1:8;NM_000535.6:6;NM_006303.4:3
PNKP	NM_007254.4	NM_007254	415.0	NM_007254.4:415
PNP	NM_000270.3	NM_000270	7.6	NM_000270.3:76;NM_000270.4:10
PNPO	NM_018129.4	NM_018129	67.5	NM_018129.4:135;NM_018129.3:2
POLG	NM_002693.2	NM_002693	43.3	NM_002693.2:996;NM_001126131.2:23
POMT2	NM_013382.5	NM_013382	392.0	NM_013382.5:392
POLG2	NM_007215.4	NM_007215	23.3	NM_007215.4:70;NM_007215.3:3
POMGNT1	NM_017739.3	NM_017739	27.8	NM_017739.3:361;NM_001243766.1:13;NM_001290129.1:1
POR	NM_000941.3	NM_000941	40.7	NM_000941.3:122;NM_000941.2:3
PPT1	NM_000310.3	NM_000310	11.6	NM_000310.3:231;NM_001142604.2:20;NM_000310.4:14;NM_001363695.2:3
PRICKLE1	NM_153026.3	NM_153026	243.0	NM_153026.3:243
PRKAG2	NM_016203.4	NM_016203	77.0	NM_016203.4:385;NM_016203.3:5
PROKR2	NM_144773.3	NM_144773	47.0	NM_144773.3:47
PRRT2	NM_145239.3	NM_145239	185.0	NM_145239.3:185
PRX	NM_020956.2	NM_020956	5.1	NM_020956.2:403;NM_181882.3:79
PSTPIP1	NM_003978.5	NM_003978	185.0	NM_003978.5:185;NM_003978.4:1
RMND1	NM_017909.4	NM_017909	70.0	NM_017909.4:70;NM_017909.3:1
PTCH1	NM_001083602.2	NM_001083602	9.1	NM_001083602.2:1295;NM_000264.5:143;NM_001083603.1:2;NM_000264.4:1
PTEN	NM_000314.7	NM_000314	9.0	NM_000314.7:1169;NM_001304718.2:130;NM_001126049.1:113;NM_000314.4:63;NM_000314.8:47;NM_000314.6:45;NM_001304717.5:20
PTPN11	NM_002834.4	NM_002834	25.9	NM_002834.4:362;NM_002834.5:14;NM_002834.3:2;NM_080601.3:2
PTPRC	NM_002838.5	NM_002838	143.0	NM_002838.5:143
PUS1	NM_025215.6	NM_025215	96.0	NM_025215.6:96;NM_025215.5:1
RAB3GAP1	NM_001172435.2	NM_001172435	142.0	NM_001172435.2:142;NM_012233.2:1;NM_001172435.1:1
